spl_id,Main ingredient,Ingredients
f516cd17-9902-4963-b60e-0ed77c033c53,ACETONE,"ACETONE, ARSENIC TRIOXIDE, BENZENE, BERBERIS VULGARIS ROOT BARK, CADMIUM SULFIDE, CARBON DIOXIDE, CHLORINE, HYDROFLUORIC ACID, KEROSENE, LEAD, MELATONIN, MERCURIUS SOLUBILIS, NITROUS OXIDE, OZONE, STRYCHNOS NUX-VOMICA SEED, SULFURIC ACID, TIN, TOLUENE, URANYL NITRATE HEXAHYDRATE"
1a58655d-a0b5-221a-e063-6294a90a8ec4,ACETYL HEXAPEPTIDE-8,"ACETYL HEXAPEPTIDE-8, PALMITOYL TETRAPEPTIDE-7, PALMITOYL TRIPEPTIDE-1"
687f604e-6337-4927-839c-788ec5db7d5d,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE
04cf0026-e299-ffd5-e063-6294a90aca1f,ACETYLCYSTEINE,"ACETYLCYSTEINE, CALCIUM CITRATE, CHOLECALCIFEROL, FOLIC ACID, MAGNESIUM CITRATE"
5737ef59-623a-4ca3-b7d2-7a5ccf67893b,"ACETYLLEUCINE, L-","ACETYLLEUCINE, L-"
0b606911-13ce-87a2-e063-6294a90abef0,ACHILLEA MILLEFOLIUM,"ACHILLEA MILLEFOLIUM, ACONITUM NAPELLUS, ARNICA MONTANA, ARNICA MONTANA FLOWER, ATROPA BELLADONNA, BELLIS PERENNIS, CALCIUM SULFIDE, CALENDULA OFFICINALIS FLOWERING TOP, CHAMOMILE, COMFREY ROOT, ECHINACEA, UNSPECIFIED, HAMAMELIS VIRGINIANA TOP, MERCURY, ST. JOHN'S WORT"
4b306ab8-afab-472a-a86e-acae6307650e,ACHILLEA MILLEFOLIUM WHOLE,"ACHILLEA MILLEFOLIUM WHOLE, ARMORACIA RUSTICANA WHOLE, CALENDULA OFFICINALIS FLOWERING TOP, CAPSELLA BURSA-PASTORIS WHOLE, CINNAMOMUM VERUM WHOLE, SALVIA OFFICINALIS FLOWERING TOP, SILVER NITRATE, WOOD CREOSOTE"
1235e7ee-d6db-440e-a680-999dc3295d2e,ACITRETIN,ACITRETIN
19b2de9f-90da-495c-b6f5-11485ef2a2ee,ACMELLA OLERACEA FLOWERING TOP,"ACMELLA OLERACEA FLOWERING TOP, APIS MELLIFERA, ATROPA BELLADONNA, BAPTISIA TINCTORIA, CALCIUM SULFIDE, CALENDULA OFFICINALIS FLOWERING TOP, GOLDENSEAL, LACHESIS MUTA VENOM, MERCURIUS SOLUBILIS, MYRRH, PHYTOLACCA AMERICANA ROOT"
6f4936ef-734a-446c-96d1-8e757504eb73,"ACONITIC ACID, (Z)-","ACONITIC ACID, (Z)-, ALCALIGENES FAECALIS, APIS MELLIFERA VENOM, AQUILEGIA VULGARIS, CYPRIPEDIUM PARVIFLORUM VAR. PUBESCENS ROOT, ESCHERICHIA COLI, ESTRADIOL, ESTRONE, GOLDENSEAL, LACHESIS MUTA VENOM, LILIUM LANCIFOLIUM WHOLE FLOWERING, LYCOPERDON UTRIFORME FRUITING BODY, MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE, MERCURIUS SOLUBILIS, PETROSELINUM CRISPUM WHOLE, PORK HEART, PROGESTERONE, SEPIA OFFICINALIS JUICE, SUS SCROFA ADRENAL GLAND, SUS SCROFA OVARY, SUS SCROFA PINEAL GLAND, SUS SCROFA PITUITARY GLAND, SUS SCROFA PLACENTA, SUS SCROFA UMBILICAL CORD, SUS SCROFA UTERUS, TESTOSTERONE, WOOD CREOSOTE"
07f6285e-9c15-a345-e063-6394a90a07c3,ACONITUM CHASMANTHUM WHOLE,"ACONITUM CHASMANTHUM WHOLE, ARSENIC TRIIODIDE, LONICERA CAPRIFOLIUM FLOWER"
